,masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,ASCI.hybrid,PyrethroidSum,huc,smcshed,smc_lu,latitude,longitude,probabilistic
5300,SMC01808,SMC01808_2019,NA,NA,NA,0.96450866,NA,412,Los Angeles,Open,34.3094,-118.07316,TRUE
5301,SMC01824,SMC01824_2012,NA,NA,0.66606163,0.51390278,NA,405,San Gabriel,Urban,34.09116,-117.75598,TRUE
5302,SMC01860,SMC01860_2009,NA,NA,NA,0.51534969,NA,408,Calleguas,Urban,34.224,-118.97911,TRUE
5303,SMC01881,SMC01881_2013,NA,NA,0.35893211,0.51622716,NA,903,Northern San Diego,Urban,33.23548,-117.34167,TRUE
5304,SMC01902,SMC01902_2012,NA,NA,0.64861009,0.45897363,NA,405,San Gabriel,Urban,34.01036,-117.85602,TRUE
5305,SMC01909,SMC01909_2009,NA,NA,0.92229808,0.54384589,NA,903,Northern San Diego,Agricultural,33.31128,-117.13885,TRUE
5306,SMC01909,SMC01909_2014,NA,NA,0.73108744,0.69155284,NA,903,Northern San Diego,Agricultural,33.31128,-117.13885,TRUE
5307,SMC01912,SMC01912_2012,NA,NA,0.3943199,0.61854458,NA,412,Los Angeles,SMC_out,34.23429,-118.60295,TRUE
5308,SMC01923,SMC01923_2011,NA,NA,0.53283862,0.44866625,0,801,Lower Santa Ana,Urban,33.67221,-117.78872,TRUE
5309,SMC01934,SMC01934_2012,NA,NA,0.56827563,0.50189551,NA,901,San Juan,Urban,33.49,-117.66595,TRUE
5310,SMC01960,SMC01960_2010,NA,NA,0.47233193,0.56994144,NA,408,Calleguas,Urban,34.26554,-118.75916,TRUE
5311,SMC01960,SMC01960_2014,NA,NA,0.58413588,0.48965212,NA,408,Calleguas,Urban,34.26554,-118.75916,TRUE
5312,SMC01962,SMC01962_2010,NA,NA,0.53878807,0.76991467,NA,909,Southern San Diego,Urban,32.66067,-117.03919,TRUE
5313,SMC01962,SMC01962_2014,NA,NA,0.62568647,0.68281783,NA,909,Southern San Diego,Urban,32.66067,-117.03919,TRUE
5314,SMC01972,SMC01972_2010,NA,NA,0.42513663,0.7486038,NA,412,Los Angeles,Urban,34.24018,-118.49564,TRUE
5315,SMC01979,SMC01979_2011,NA,NA,0.97378641,0.93989864,NA,403,Santa Clara,Open,34.45205,-119.13624,TRUE
